Title,Link,Difficulty,Topic
"Bulb Switcher","https://leetcode.com/problems/bulb-switcher","MEDIUM","Math, Brainteaser"
"Happy Number","https://leetcode.com/problems/happy-number","EASY","Hash Table, Math, Two Pointers"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Climbing Stairs","https://leetcode.com/problems/climbing-stairs","EASY","Math, Dynamic Programming, Memoization"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Palindrome Number","https://leetcode.com/problems/palindrome-number","EASY","Math"
"Rotate Array","https://leetcode.com/problems/rotate-array","MEDIUM","Array, Math, Two Pointers"
"Roman to Integer","https://leetcode.com/problems/roman-to-integer","EASY","Hash Table, Math, String"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Delete and Earn","https://leetcode.com/problems/delete-and-earn","MEDIUM","Array, Hash Table, Dynamic Programming"
"Sum of Values at Indices With K Set Bits","https://leetcode.com/problems/sum-of-values-at-indices-with-k-set-bits","EASY","Array, Bit Manipulation"
"Find Subsequence of Length K With the Largest Sum","https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum","EASY","Array, Hash Table, Sorting, Heap (Priority Queue)"
"Maximum Area of Longest Diagonal Rectangle","https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle","EASY","Array"
"Ant on the Boundary","https://leetcode.com/problems/ant-on-the-boundary","EASY","Array, Simulation, Prefix Sum"
"Count Tested Devices After Test Operations","https://leetcode.com/problems/count-tested-devices-after-test-operations","EASY","Array, Simulation, Counting"
"Permutation Difference between Two Strings","https://leetcode.com/problems/permutation-difference-between-two-strings","EASY","Hash Table, String"
"Minimum Right Shifts to Sort the Array","https://leetcode.com/problems/minimum-right-shifts-to-sort-the-array","EASY","Array"
"Reverse Integer","https://leetcode.com/problems/reverse-integer","MEDIUM","Math"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Largest Number","https://leetcode.com/problems/largest-number","MEDIUM","Array, String, Greedy, Sorting"
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Longest Common Prefix","https://leetcode.com/problems/longest-common-prefix","EASY","String, Trie"
"Spiral Matrix","https://leetcode.com/problems/spiral-matrix","MEDIUM","Array, Matrix, Simulation"
"Shortest Palindrome","https://leetcode.com/problems/shortest-palindrome","HARD","String, Rolling Hash, String Matching, Hash Function"
"Sort Integers by The Number of 1 Bits","https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits","EASY","Array, Bit Manipulation, Sorting, Counting"
"Majority Element","https://leetcode.com/problems/majority-element","EASY","Array, Hash Table, Divide and Conquer, Sorting, Counting"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Find Peak Element","https://leetcode.com/problems/find-peak-element","MEDIUM","Array, Binary Search"
"Reverse Words in a String","https://leetcode.com/problems/reverse-words-in-a-string","MEDIUM","Two Pointers, String"
"Perfect Squares","https://leetcode.com/problems/perfect-squares","MEDIUM","Math, Dynamic Programming, Breadth-First Search"
"Integer Break","https://leetcode.com/problems/integer-break","MEDIUM","Math, Dynamic Programming"
"Valid Anagram","https://leetcode.com/problems/valid-anagram","EASY","Hash Table, String, Sorting"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Plus One","https://leetcode.com/problems/plus-one","EASY","Array, Math"
"Product of Array Except Self","https://leetcode.com/problems/product-of-array-except-self","MEDIUM","Array, Prefix Sum"
"Container With Most Water","https://leetcode.com/problems/container-with-most-water","MEDIUM","Array, Two Pointers, Greedy"
"Fibonacci Number","https://leetcode.com/problems/fibonacci-number","EASY","Math, Dynamic Programming, Recursion, Memoization"
"Remove Duplicates from Sorted Array","https://leetcode.com/problems/remove-duplicates-from-sorted-array","EASY","Array, Two Pointers"
"Add Two Numbers","https://leetcode.com/problems/add-two-numbers","MEDIUM","Linked List, Math, Recursion"
"Assign Cookies","https://leetcode.com/problems/assign-cookies","EASY","Array, Two Pointers, Greedy, Sorting"
"House Robber","https://leetcode.com/problems/house-robber","MEDIUM","Array, Dynamic Programming"
"Reverse Vowels of a String","https://leetcode.com/problems/reverse-vowels-of-a-string","EASY","Two Pointers, String"
"Find First and Last Position of Element in Sorted Array","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","MEDIUM","Array, Binary Search"
"Longest Increasing Subsequence","https://leetcode.com/problems/longest-increasing-subsequence","MEDIUM","Array, Binary Search, Dynamic Programming"
"Coin Change","https://leetcode.com/problems/coin-change","MEDIUM","Array, Dynamic Programming, Breadth-First Search"
"Nth Digit","https://leetcode.com/problems/nth-digit","MEDIUM","Math, Binary Search"
"Candy","https://leetcode.com/problems/candy","HARD","Array, Greedy"
"Count Primes","https://leetcode.com/problems/count-primes","MEDIUM","Array, Math, Enumeration, Number Theory"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Koko Eating Bananas","https://leetcode.com/problems/koko-eating-bananas","MEDIUM","Array, Binary Search"
"Pascal's Triangle","https://leetcode.com/problems/pascals-triangle","EASY","Array, Dynamic Programming"
"Rotate Image","https://leetcode.com/problems/rotate-image","MEDIUM","Array, Math, Matrix"
"Perfect Number","https://leetcode.com/problems/perfect-number","EASY","Math"
"Sort Array by Increasing Frequency","https://leetcode.com/problems/sort-array-by-increasing-frequency","EASY","Array, Hash Table, Sorting"
"Find the Winner of the Circular Game","https://leetcode.com/problems/find-the-winner-of-the-circular-game","MEDIUM","Array, Math, Recursion, Queue, Simulation"
"Next Greater Element I","https://leetcode.com/problems/next-greater-element-i","EASY","Array, Hash Table, Stack, Monotonic Stack"
"Valid Palindrome","https://leetcode.com/problems/valid-palindrome","EASY","Two Pointers, String"
"Edit Distance","https://leetcode.com/problems/edit-distance","MEDIUM","String, Dynamic Programming"
"Next Permutation","https://leetcode.com/problems/next-permutation","MEDIUM","Array, Two Pointers"
"Reverse Linked List","https://leetcode.com/problems/reverse-linked-list","EASY","Linked List, Recursion"
"Remove Element","https://leetcode.com/problems/remove-element","EASY","Array, Two Pointers"
