Title,Link,Difficulty,Topic
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Longest Common Prefix","https://leetcode.com/problems/longest-common-prefix","EASY","String, Trie"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Median of Two Sorted Arrays","https://leetcode.com/problems/median-of-two-sorted-arrays","HARD","Array, Binary Search, Divide and Conquer"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Reverse Integer","https://leetcode.com/problems/reverse-integer","MEDIUM","Math"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Add Two Numbers","https://leetcode.com/problems/add-two-numbers","MEDIUM","Linked List, Math, Recursion"
"Climbing Stairs","https://leetcode.com/problems/climbing-stairs","EASY","Math, Dynamic Programming, Memoization"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Palindrome Number","https://leetcode.com/problems/palindrome-number","EASY","Math"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Remove Duplicates from Sorted Array","https://leetcode.com/problems/remove-duplicates-from-sorted-array","EASY","Array, Two Pointers"
"Container With Most Water","https://leetcode.com/problems/container-with-most-water","MEDIUM","Array, Two Pointers, Greedy"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Next Permutation","https://leetcode.com/problems/next-permutation","MEDIUM","Array, Two Pointers"
"Remove Element","https://leetcode.com/problems/remove-element","EASY","Array, Two Pointers"
"Roman to Integer","https://leetcode.com/problems/roman-to-integer","EASY","Hash Table, Math, String"
"Spiral Matrix","https://leetcode.com/problems/spiral-matrix","MEDIUM","Array, Matrix, Simulation"
"Merge Two Sorted Lists","https://leetcode.com/problems/merge-two-sorted-lists","EASY","Linked List, Recursion"
"Set Matrix Zeroes","https://leetcode.com/problems/set-matrix-zeroes","MEDIUM","Array, Hash Table, Matrix"
"Jump Game","https://leetcode.com/problems/jump-game","MEDIUM","Array, Dynamic Programming, Greedy"
"Plus One","https://leetcode.com/problems/plus-one","EASY","Array, Math"
"Generate Parentheses","https://leetcode.com/problems/generate-parentheses","MEDIUM","String, Dynamic Programming, Backtracking"
"Letter Combinations of a Phone Number","https://leetcode.com/problems/letter-combinations-of-a-phone-number","MEDIUM","Hash Table, String, Backtracking"
"Rotate Image","https://leetcode.com/problems/rotate-image","MEDIUM","Array, Math, Matrix"
"Integer to Roman","https://leetcode.com/problems/integer-to-roman","MEDIUM","Hash Table, Math, String"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Permutations","https://leetcode.com/problems/permutations","MEDIUM","Array, Backtracking"
"Find First and Last Position of Element in Sorted Array","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","MEDIUM","Array, Binary Search"
"Remove Duplicates from Sorted Array II","https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii","MEDIUM","Array, Two Pointers"
"Jump Game II","https://leetcode.com/problems/jump-game-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Sqrt(x)","https://leetcode.com/problems/sqrtx","EASY","Math, Binary Search"
"Sort Colors","https://leetcode.com/problems/sort-colors","MEDIUM","Array, Two Pointers, Sorting"
"Combination Sum II","https://leetcode.com/problems/combination-sum-ii","MEDIUM","Array, Backtracking"
"Unique Paths","https://leetcode.com/problems/unique-paths","MEDIUM","Math, Dynamic Programming, Combinatorics"
"First Missing Positive","https://leetcode.com/problems/first-missing-positive","HARD","Array, Hash Table"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Valid Sudoku","https://leetcode.com/problems/valid-sudoku","MEDIUM","Array, Hash Table, Matrix"
"Merge k Sorted Lists","https://leetcode.com/problems/merge-k-sorted-lists","HARD","Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
"Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Pow(x, n)","https://leetcode.com/problems/powx-n","MEDIUM","Math, Recursion"
"Find the Index of the First Occurrence in a String","https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string","EASY","Two Pointers, String, String Matching"
"Subsets","https://leetcode.com/problems/subsets","MEDIUM","Array, Backtracking, Bit Manipulation"
"Search Insert Position","https://leetcode.com/problems/search-insert-position","EASY","Array, Binary Search"
"Construct Binary Tree from Preorder and Inorder Traversal","https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal","MEDIUM","Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
"Divide Two Integers","https://leetcode.com/problems/divide-two-integers","MEDIUM","Math, Bit Manipulation"
"String to Integer (atoi)","https://leetcode.com/problems/string-to-integer-atoi","MEDIUM","String"
"Reverse Nodes in k-Group","https://leetcode.com/problems/reverse-nodes-in-k-group","HARD","Linked List, Recursion"
"Reverse Linked List II","https://leetcode.com/problems/reverse-linked-list-ii","MEDIUM","Linked List"
"Binary Tree Zigzag Level Order Traversal","https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal","MEDIUM","Tree, Breadth-First Search, Binary Tree"
"Length of Last Word","https://leetcode.com/problems/length-of-last-word","EASY","String"
"Swap Nodes in Pairs","https://leetcode.com/problems/swap-nodes-in-pairs","MEDIUM","Linked List, Recursion"
"Minimum Window Substring","https://leetcode.com/problems/minimum-window-substring","HARD","Hash Table, String, Sliding Window"
"Largest Rectangle in Histogram","https://leetcode.com/problems/largest-rectangle-in-histogram","HARD","Array, Stack, Monotonic Stack"
"Zigzag Conversion","https://leetcode.com/problems/zigzag-conversion","MEDIUM","String"
"4Sum","https://leetcode.com/problems/4sum","MEDIUM","Array, Two Pointers, Sorting"
"3Sum Closest","https://leetcode.com/problems/3sum-closest","MEDIUM","Array, Two Pointers, Sorting"
"Wildcard Matching","https://leetcode.com/problems/wildcard-matching","HARD","String, Dynamic Programming, Greedy, Recursion"
"Remove Nth Node From End of List","https://leetcode.com/problems/remove-nth-node-from-end-of-list","MEDIUM","Linked List, Two Pointers"
"Partition List","https://leetcode.com/problems/partition-list","MEDIUM","Linked List, Two Pointers"
"Binary Tree Inorder Traversal","https://leetcode.com/problems/binary-tree-inorder-traversal","EASY","Stack, Tree, Depth-First Search, Binary Tree"
"Insert Interval","https://leetcode.com/problems/insert-interval","MEDIUM","Array"
"Symmetric Tree","https://leetcode.com/problems/symmetric-tree","EASY","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Sudoku Solver","https://leetcode.com/problems/sudoku-solver","HARD","Array, Hash Table, Backtracking, Matrix"
"Text Justification","https://leetcode.com/problems/text-justification","HARD","Array, String, Simulation"
"Add Binary","https://leetcode.com/problems/add-binary","EASY","Math, String, Bit Manipulation, Simulation"
"Decode Ways","https://leetcode.com/problems/decode-ways","MEDIUM","String, Dynamic Programming"
"Longest Valid Parentheses","https://leetcode.com/problems/longest-valid-parentheses","HARD","String, Dynamic Programming, Stack"
"Same Tree","https://leetcode.com/problems/same-tree","EASY","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Balanced Binary Tree","https://leetcode.com/problems/balanced-binary-tree","EASY","Tree, Depth-First Search, Binary Tree"
"Word Search","https://leetcode.com/problems/word-search","MEDIUM","Array, String, Backtracking, Depth-First Search, Matrix"
"Search a 2D Matrix","https://leetcode.com/problems/search-a-2d-matrix","MEDIUM","Array, Binary Search, Matrix"
"Remove Duplicates from Sorted List","https://leetcode.com/problems/remove-duplicates-from-sorted-list","EASY","Linked List"
"Validate Binary Search Tree","https://leetcode.com/problems/validate-binary-search-tree","MEDIUM","Tree, Depth-First Search, Binary Search Tree, Binary Tree"
"Maximum Depth of Binary Tree","https://leetcode.com/problems/maximum-depth-of-binary-tree","EASY","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Search in Rotated Sorted Array II","https://leetcode.com/problems/search-in-rotated-sorted-array-ii","MEDIUM","Array, Binary Search"
"Combinations","https://leetcode.com/problems/combinations","MEDIUM","Backtracking"
