Title,Link,Difficulty,Topic
"Design Circular Queue","https://leetcode.com/problems/design-circular-queue","MEDIUM","Array, Linked List, Design, Queue"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"4Sum","https://leetcode.com/problems/4sum","MEDIUM","Array, Two Pointers, Sorting"
"Design a Stack With Increment Operation","https://leetcode.com/problems/design-a-stack-with-increment-operation","MEDIUM","Array, Stack, Design"
"Reaching Points","https://leetcode.com/problems/reaching-points","HARD","Math"
"Design Hit Counter","https://leetcode.com/problems/design-hit-counter","MEDIUM","Array, Binary Search, Design, Queue, Data Stream"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Game of Life","https://leetcode.com/problems/game-of-life","MEDIUM","Array, Matrix, Simulation"
"Fizz Buzz","https://leetcode.com/problems/fizz-buzz","EASY","Math, String, Simulation"
