Title,Link,Difficulty,Topic
"Palindrome Number","https://leetcode.com/problems/palindrome-number","EASY","Math"
"Count Subarrays of Length Three With a Condition","https://leetcode.com/problems/count-subarrays-of-length-three-with-a-condition","EASY","Array"
"Smallest Value of the Rearranged Number","https://leetcode.com/problems/smallest-value-of-the-rearranged-number","MEDIUM","Math, Sorting"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Fibonacci Number","https://leetcode.com/problems/fibonacci-number","EASY","Math, Dynamic Programming, Recursion, Memoization"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Valid Anagram","https://leetcode.com/problems/valid-anagram","EASY","Hash Table, String, Sorting"
"Remove Duplicates from Sorted Array","https://leetcode.com/problems/remove-duplicates-from-sorted-array","EASY","Array, Two Pointers"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Product Sales Analysis I","https://leetcode.com/problems/product-sales-analysis-i","EASY","Database"
"Reverse Integer","https://leetcode.com/problems/reverse-integer","MEDIUM","Math"
"Second Highest Salary","https://leetcode.com/problems/second-highest-salary","MEDIUM","Database"
"Managers with at Least 5 Direct Reports","https://leetcode.com/problems/managers-with-at-least-5-direct-reports","MEDIUM","Database"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Longest Common Prefix","https://leetcode.com/problems/longest-common-prefix","EASY","String, Trie"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Fizz Buzz","https://leetcode.com/problems/fizz-buzz","EASY","Math, String, Simulation"
"Rising Temperature","https://leetcode.com/problems/rising-temperature","EASY","Database"
"Median of Two Sorted Arrays","https://leetcode.com/problems/median-of-two-sorted-arrays","HARD","Array, Binary Search, Divide and Conquer"
"Add Two Numbers","https://leetcode.com/problems/add-two-numbers","MEDIUM","Linked List, Math, Recursion"
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Count Primes","https://leetcode.com/problems/count-primes","MEDIUM","Array, Math, Enumeration, Number Theory"
"Students and Examinations","https://leetcode.com/problems/students-and-examinations","EASY","Database"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Move Zeroes","https://leetcode.com/problems/move-zeroes","EASY","Array, Two Pointers"
"Binary Search","https://leetcode.com/problems/binary-search","EASY","Array, Binary Search"
"Happy Number","https://leetcode.com/problems/happy-number","EASY","Hash Table, Math, Two Pointers"
"Merge Two Sorted Lists","https://leetcode.com/problems/merge-two-sorted-lists","EASY","Linked List, Recursion"
"Search Insert Position","https://leetcode.com/problems/search-insert-position","EASY","Array, Binary Search"
