Title,Link,Difficulty,Topic
"Change Null Values in a Table to the Previous Value","https://leetcode.com/problems/change-null-values-in-a-table-to-the-previous-value","MEDIUM","Database"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Merge k Sorted Lists","https://leetcode.com/problems/merge-k-sorted-lists","HARD","Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Palindrome Number","https://leetcode.com/problems/palindrome-number","EASY","Math"
"Second Highest Salary","https://leetcode.com/problems/second-highest-salary","MEDIUM","Database"
"Container With Most Water","https://leetcode.com/problems/container-with-most-water","MEDIUM","Array, Two Pointers, Greedy"
"Rising Temperature","https://leetcode.com/problems/rising-temperature","EASY","Database"
"Reverse Integer","https://leetcode.com/problems/reverse-integer","MEDIUM","Math"
"Managers with at Least 5 Direct Reports","https://leetcode.com/problems/managers-with-at-least-5-direct-reports","MEDIUM","Database"
"Climbing Stairs","https://leetcode.com/problems/climbing-stairs","EASY","Math, Dynamic Programming, Memoization"
"Minimum Time to Repair Cars","https://leetcode.com/problems/minimum-time-to-repair-cars","MEDIUM","Array, Binary Search"
"Reverse Words in a String","https://leetcode.com/problems/reverse-words-in-a-string","MEDIUM","Two Pointers, String"
"Max Consecutive Ones","https://leetcode.com/problems/max-consecutive-ones","EASY","Array"
"Kth Largest Element in an Array","https://leetcode.com/problems/kth-largest-element-in-an-array","MEDIUM","Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Coin Change","https://leetcode.com/problems/coin-change","MEDIUM","Array, Dynamic Programming, Breadth-First Search"
"Longest Common Prefix","https://leetcode.com/problems/longest-common-prefix","EASY","String, Trie"
"Edit Distance","https://leetcode.com/problems/edit-distance","MEDIUM","String, Dynamic Programming"
"Reverse Linked List","https://leetcode.com/problems/reverse-linked-list","EASY","Linked List, Recursion"
"Article Views I","https://leetcode.com/problems/article-views-i","EASY","Database"
"Find Customer Referee","https://leetcode.com/problems/find-customer-referee","EASY","Database"
"Majority Element","https://leetcode.com/problems/majority-element","EASY","Array, Hash Table, Divide and Conquer, Sorting, Counting"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Pascal's Triangle","https://leetcode.com/problems/pascals-triangle","EASY","Array, Dynamic Programming"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
