Title,Link,Difficulty,Topic
"Ransom Note","https://leetcode.com/problems/ransom-note","EASY","Hash Table, String, Counting"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Max Area of Island","https://leetcode.com/problems/max-area-of-island","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Remove All Adjacent Duplicates in String II","https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii","MEDIUM","String, Stack"
"Generate Parentheses","https://leetcode.com/problems/generate-parentheses","MEDIUM","String, Dynamic Programming, Backtracking"
"Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Subarray Sum Equals K","https://leetcode.com/problems/subarray-sum-equals-k","MEDIUM","Array, Hash Table, Prefix Sum"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Longest Common Prefix","https://leetcode.com/problems/longest-common-prefix","EASY","String, Trie"
"Reverse Linked List II","https://leetcode.com/problems/reverse-linked-list-ii","MEDIUM","Linked List"
"Climbing Stairs","https://leetcode.com/problems/climbing-stairs","EASY","Math, Dynamic Programming, Memoization"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Valid Anagram","https://leetcode.com/problems/valid-anagram","EASY","Hash Table, String, Sorting"
"Egg Drop With 2 Eggs and N Floors","https://leetcode.com/problems/egg-drop-with-2-eggs-and-n-floors","MEDIUM","Math, Dynamic Programming"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Valid Word Abbreviation","https://leetcode.com/problems/valid-word-abbreviation","EASY","Two Pointers, String"
"Product of Array Except Self","https://leetcode.com/problems/product-of-array-except-self","MEDIUM","Array, Prefix Sum"
