Title,Link,Difficulty,Topic
"Simple Bank System","https://leetcode.com/problems/simple-bank-system","MEDIUM","Array, Hash Table, Design, Simulation"
"Find Duplicate File in System","https://leetcode.com/problems/find-duplicate-file-in-system","MEDIUM","Array, Hash Table, String"
"Game of Life","https://leetcode.com/problems/game-of-life","MEDIUM","Array, Matrix, Simulation"
"Web Crawler","https://leetcode.com/problems/web-crawler","MEDIUM","String, Depth-First Search, Breadth-First Search, Interactive"
"Web Crawler Multithreaded","https://leetcode.com/problems/web-crawler-multithreaded","MEDIUM","Depth-First Search, Breadth-First Search, Concurrency"
"Word Pattern II","https://leetcode.com/problems/word-pattern-ii","MEDIUM","Hash Table, String, Backtracking"
"Minimize Malware Spread II","https://leetcode.com/problems/minimize-malware-spread-ii","HARD","Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph"
"Minimize Malware Spread","https://leetcode.com/problems/minimize-malware-spread","HARD","Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph"
"Seat Reservation Manager","https://leetcode.com/problems/seat-reservation-manager","MEDIUM","Design, Heap (Priority Queue)"
"Design Hit Counter","https://leetcode.com/problems/design-hit-counter","MEDIUM","Array, Binary Search, Design, Queue, Data Stream"
"Check If It Is a Good Array","https://leetcode.com/problems/check-if-it-is-a-good-array","HARD","Array, Math, Number Theory"
"Design a Text Editor","https://leetcode.com/problems/design-a-text-editor","HARD","Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Median of Two Sorted Arrays","https://leetcode.com/problems/median-of-two-sorted-arrays","HARD","Array, Binary Search, Divide and Conquer"
"Word Pattern","https://leetcode.com/problems/word-pattern","EASY","Hash Table, String"
"Number of Valid Words for Each Puzzle","https://leetcode.com/problems/number-of-valid-words-for-each-puzzle","HARD","Array, Hash Table, String, Bit Manipulation, Trie"
"Word Break II","https://leetcode.com/problems/word-break-ii","HARD","Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
"Grid Illumination","https://leetcode.com/problems/grid-illumination","HARD","Array, Hash Table"
"Letter Combinations of a Phone Number","https://leetcode.com/problems/letter-combinations-of-a-phone-number","MEDIUM","Hash Table, String, Backtracking"
"Max Area of Island","https://leetcode.com/problems/max-area-of-island","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Guess the Word","https://leetcode.com/problems/guess-the-word","HARD","Array, Math, String, Interactive, Game Theory"
"Top K Frequent Elements","https://leetcode.com/problems/top-k-frequent-elements","MEDIUM","Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Number of Islands II","https://leetcode.com/problems/number-of-islands-ii","HARD","Array, Hash Table, Union Find"
