Title,Link,Difficulty,Topic
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Add Two Numbers","https://leetcode.com/problems/add-two-numbers","MEDIUM","Linked List, Math, Recursion"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Median of Two Sorted Arrays","https://leetcode.com/problems/median-of-two-sorted-arrays","HARD","Array, Binary Search, Divide and Conquer"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Longest Common Prefix","https://leetcode.com/problems/longest-common-prefix","EASY","String, Trie"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Longest Consecutive Sequence","https://leetcode.com/problems/longest-consecutive-sequence","MEDIUM","Array, Hash Table, Union Find"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Rotate Image","https://leetcode.com/problems/rotate-image","MEDIUM","Array, Math, Matrix"
"Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Reverse Linked List","https://leetcode.com/problems/reverse-linked-list","EASY","Linked List, Recursion"
"4Sum","https://leetcode.com/problems/4sum","MEDIUM","Array, Two Pointers, Sorting"
"Jump Game","https://leetcode.com/problems/jump-game","MEDIUM","Array, Dynamic Programming, Greedy"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Find Median from Data Stream","https://leetcode.com/problems/find-median-from-data-stream","HARD","Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
"Pascal's Triangle","https://leetcode.com/problems/pascals-triangle","EASY","Array, Dynamic Programming"
"Single Number","https://leetcode.com/problems/single-number","EASY","Array, Bit Manipulation"
"Find the Index of the First Occurrence in a String","https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string","EASY","Two Pointers, String, String Matching"
"Maximal Rectangle","https://leetcode.com/problems/maximal-rectangle","HARD","Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
"Valid Anagram","https://leetcode.com/problems/valid-anagram","EASY","Hash Table, String, Sorting"
"First Missing Positive","https://leetcode.com/problems/first-missing-positive","HARD","Array, Hash Table"
"Jump Game II","https://leetcode.com/problems/jump-game-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Add Binary","https://leetcode.com/problems/add-binary","EASY","Math, String, Bit Manipulation, Simulation"
"Text Justification","https://leetcode.com/problems/text-justification","HARD","Array, String, Simulation"
"Insert Interval","https://leetcode.com/problems/insert-interval","MEDIUM","Array"
"Maximum Product Subarray","https://leetcode.com/problems/maximum-product-subarray","MEDIUM","Array, Dynamic Programming"
"String to Integer (atoi)","https://leetcode.com/problems/string-to-integer-atoi","MEDIUM","String"
"Same Tree","https://leetcode.com/problems/same-tree","EASY","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Search a 2D Matrix","https://leetcode.com/problems/search-a-2d-matrix","MEDIUM","Array, Binary Search, Matrix"
"Isomorphic Strings","https://leetcode.com/problems/isomorphic-strings","EASY","Hash Table, String"
"3Sum Closest","https://leetcode.com/problems/3sum-closest","MEDIUM","Array, Two Pointers, Sorting"
"Wildcard Matching","https://leetcode.com/problems/wildcard-matching","HARD","String, Dynamic Programming, Greedy, Recursion"
"Find the Duplicate Number","https://leetcode.com/problems/find-the-duplicate-number","MEDIUM","Array, Two Pointers, Binary Search, Bit Manipulation"
"Contains Duplicate II","https://leetcode.com/problems/contains-duplicate-ii","EASY","Array, Hash Table, Sliding Window"
"Missing Number","https://leetcode.com/problems/missing-number","EASY","Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
"Symmetric Tree","https://leetcode.com/problems/symmetric-tree","EASY","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Minimum Path Sum","https://leetcode.com/problems/minimum-path-sum","MEDIUM","Array, Dynamic Programming, Matrix"
