Title,Link,Difficulty,Topic
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Find Building Where Alice and Bob Can Meet","https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet","HARD","Array, Binary Search, Stack, Binary Indexed Tree, Segment Tree, Heap (Priority Queue), Monotonic Stack"
"Minimum Reverse Operations","https://leetcode.com/problems/minimum-reverse-operations","HARD","Array, Breadth-First Search, Ordered Set"
"Count the Number of Ideal Arrays","https://leetcode.com/problems/count-the-number-of-ideal-arrays","HARD","Math, Dynamic Programming, Combinatorics, Number Theory"
"Transform Array by Parity","https://leetcode.com/problems/transform-array-by-parity","EASY","Array, Sorting, Counting"
"Maximum Sum of Subsequence With Non-adjacent Elements","https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements","HARD","Array, Divide and Conquer, Dynamic Programming, Segment Tree"
"Eat Pizzas!","https://leetcode.com/problems/eat-pizzas","MEDIUM","Array, Greedy, Sorting"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Determine the Minimum Sum of a k-avoiding Array","https://leetcode.com/problems/determine-the-minimum-sum-of-a-k-avoiding-array","MEDIUM","Math, Greedy"
"Sort the People","https://leetcode.com/problems/sort-the-people","EASY","Array, Hash Table, String, Sorting"
"Number of Beautiful Integers in the Range","https://leetcode.com/problems/number-of-beautiful-integers-in-the-range","HARD","Math, Dynamic Programming"
"Longest Well-Performing Interval","https://leetcode.com/problems/longest-well-performing-interval","MEDIUM","Array, Hash Table, Stack, Monotonic Stack, Prefix Sum"
"Maximum Product After K Increments","https://leetcode.com/problems/maximum-product-after-k-increments","MEDIUM","Array, Greedy, Heap (Priority Queue)"
"Maximum Segment Sum After Removals","https://leetcode.com/problems/maximum-segment-sum-after-removals","HARD","Array, Union Find, Prefix Sum, Ordered Set"
"Minimum Total Distance Traveled","https://leetcode.com/problems/minimum-total-distance-traveled","HARD","Array, Dynamic Programming, Sorting"
"Minimum Addition to Make Integer Beautiful","https://leetcode.com/problems/minimum-addition-to-make-integer-beautiful","MEDIUM","Math, Greedy"
"Number of Nodes With Value One","https://leetcode.com/problems/number-of-nodes-with-value-one","MEDIUM","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Can Convert String in K Moves","https://leetcode.com/problems/can-convert-string-in-k-moves","MEDIUM","Hash Table, String"
"The Number of Beautiful Subsets","https://leetcode.com/problems/the-number-of-beautiful-subsets","MEDIUM","Array, Hash Table, Math, Dynamic Programming, Backtracking, Sorting, Combinatorics"
"Stone Game VIII","https://leetcode.com/problems/stone-game-viii","HARD","Array, Math, Dynamic Programming, Prefix Sum, Game Theory"
"Maximum Number of Consecutive Values You Can Make","https://leetcode.com/problems/maximum-number-of-consecutive-values-you-can-make","MEDIUM","Array, Greedy, Sorting"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Find the Minimum Possible Sum of a Beautiful Array","https://leetcode.com/problems/find-the-minimum-possible-sum-of-a-beautiful-array","MEDIUM","Math, Greedy"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Maximize the Minimum Game Score","https://leetcode.com/problems/maximize-the-minimum-game-score","HARD","Array, Binary Search, Greedy"
"Largest Number After Mutating Substring","https://leetcode.com/problems/largest-number-after-mutating-substring","MEDIUM","Array, String, Greedy"
"Find the Number of Subsequences With Equal GCD","https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd","HARD","Array, Math, Dynamic Programming, Number Theory"
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Next Permutation","https://leetcode.com/problems/next-permutation","MEDIUM","Array, Two Pointers"
"Palindrome Number","https://leetcode.com/problems/palindrome-number","EASY","Math"
"Remove Duplicates from Sorted Array","https://leetcode.com/problems/remove-duplicates-from-sorted-array","EASY","Array, Two Pointers"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Reverse String","https://leetcode.com/problems/reverse-string","EASY","Two Pointers, String"
"Longest Common Prefix","https://leetcode.com/problems/longest-common-prefix","EASY","String, Trie"
"Rotate Image","https://leetcode.com/problems/rotate-image","MEDIUM","Array, Math, Matrix"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Second Highest Salary","https://leetcode.com/problems/second-highest-salary","MEDIUM","Database"
"Valid Anagram","https://leetcode.com/problems/valid-anagram","EASY","Hash Table, String, Sorting"
"Product of Array Except Self","https://leetcode.com/problems/product-of-array-except-self","MEDIUM","Array, Prefix Sum"
"Fibonacci Number","https://leetcode.com/problems/fibonacci-number","EASY","Math, Dynamic Programming, Recursion, Memoization"
"Reverse Integer","https://leetcode.com/problems/reverse-integer","MEDIUM","Math"
"Coin Change","https://leetcode.com/problems/coin-change","MEDIUM","Array, Dynamic Programming, Breadth-First Search"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Generate Parentheses","https://leetcode.com/problems/generate-parentheses","MEDIUM","String, Dynamic Programming, Backtracking"
"Rotate Array","https://leetcode.com/problems/rotate-array","MEDIUM","Array, Math, Two Pointers"
"Spiral Matrix","https://leetcode.com/problems/spiral-matrix","MEDIUM","Array, Matrix, Simulation"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Longest Consecutive Sequence","https://leetcode.com/problems/longest-consecutive-sequence","MEDIUM","Array, Hash Table, Union Find"
"Reverse Words in a String","https://leetcode.com/problems/reverse-words-in-a-string","MEDIUM","Two Pointers, String"
"Kth Largest Element in an Array","https://leetcode.com/problems/kth-largest-element-in-an-array","MEDIUM","Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
"Sort an Array","https://leetcode.com/problems/sort-an-array","MEDIUM","Array, Divide and Conquer, Sorting, Heap (Priority Queue), Merge Sort, Bucket Sort, Radix Sort, Counting Sort"
"Two Sum II - Input Array Is Sorted","https://leetcode.com/problems/two-sum-ii-input-array-is-sorted","MEDIUM","Array, Two Pointers, Binary Search"
"Move Zeroes","https://leetcode.com/problems/move-zeroes","EASY","Array, Two Pointers"
