Title,Link,Difficulty,Topic
"Max Stack","https://leetcode.com/problems/max-stack","HARD","Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
"Nested List Weight Sum II","https://leetcode.com/problems/nested-list-weight-sum-ii","MEDIUM","Stack, Depth-First Search, Breadth-First Search"
"All O`one Data Structure","https://leetcode.com/problems/all-oone-data-structure","HARD","Hash Table, Linked List, Design, Doubly-Linked List"
"Word Ladder","https://leetcode.com/problems/word-ladder","HARD","Hash Table, String, Breadth-First Search"
"Find the Celebrity","https://leetcode.com/problems/find-the-celebrity","MEDIUM","Two Pointers, Graph, Interactive"
"Nested List Weight Sum","https://leetcode.com/problems/nested-list-weight-sum","MEDIUM","Depth-First Search, Breadth-First Search"
"Shortest Word Distance II","https://leetcode.com/problems/shortest-word-distance-ii","MEDIUM","Array, Hash Table, Two Pointers, String, Design"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Find Leaves of Binary Tree","https://leetcode.com/problems/find-leaves-of-binary-tree","MEDIUM","Tree, Depth-First Search, Binary Tree"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Maximum Product Subarray","https://leetcode.com/problems/maximum-product-subarray","MEDIUM","Array, Dynamic Programming"
"Can Place Flowers","https://leetcode.com/problems/can-place-flowers","EASY","Array, Greedy"
"Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Pow(x, n)","https://leetcode.com/problems/powx-n","MEDIUM","Math, Recursion"
"Binary Tree Upside Down","https://leetcode.com/problems/binary-tree-upside-down","MEDIUM","Tree, Depth-First Search, Binary Tree"
"Insert Delete GetRandom O(1)","https://leetcode.com/problems/insert-delete-getrandom-o1","MEDIUM","Array, Hash Table, Math, Design, Randomized"
"Partition to K Equal Sum Subsets","https://leetcode.com/problems/partition-to-k-equal-sum-subsets","MEDIUM","Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
"Find First and Last Position of Element in Sorted Array","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","MEDIUM","Array, Binary Search"
"Paint House","https://leetcode.com/problems/paint-house","MEDIUM","Array, Dynamic Programming"
"Serialize and Deserialize Binary Tree","https://leetcode.com/problems/serialize-and-deserialize-binary-tree","HARD","String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
"Minimum Window Substring","https://leetcode.com/problems/minimum-window-substring","HARD","Hash Table, String, Sliding Window"
"Maximum Depth of Binary Tree","https://leetcode.com/problems/maximum-depth-of-binary-tree","EASY","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Factor Combinations","https://leetcode.com/problems/factor-combinations","MEDIUM","Backtracking"
"Shortest Word Distance","https://leetcode.com/problems/shortest-word-distance","EASY","Array, String"
"Exclusive Time of Functions","https://leetcode.com/problems/exclusive-time-of-functions","MEDIUM","Array, Stack"
"Lowest Common Ancestor of a Binary Tree","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree","MEDIUM","Tree, Depth-First Search, Binary Tree"
"Kth Largest Element in an Array","https://leetcode.com/problems/kth-largest-element-in-an-array","MEDIUM","Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
"Letter Combinations of a Phone Number","https://leetcode.com/problems/letter-combinations-of-a-phone-number","MEDIUM","Hash Table, String, Backtracking"
"Lowest Common Ancestor of a Binary Search Tree","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree","MEDIUM","Tree, Depth-First Search, Binary Search Tree, Binary Tree"
"Isomorphic Strings","https://leetcode.com/problems/isomorphic-strings","EASY","Hash Table, String"
"Symmetric Tree","https://leetcode.com/problems/symmetric-tree","EASY","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Sort Transformed Array","https://leetcode.com/problems/sort-transformed-array","MEDIUM","Array, Math, Two Pointers, Sorting"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Count Integers in Intervals","https://leetcode.com/problems/count-integers-in-intervals","HARD","Design, Segment Tree, Ordered Set"
"Valid Perfect Square","https://leetcode.com/problems/valid-perfect-square","EASY","Math, Binary Search"
"Valid Number","https://leetcode.com/problems/valid-number","HARD","String"
"Kth Smallest Product of Two Sorted Arrays","https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays","HARD","Array, Binary Search"
"Max Points on a Line","https://leetcode.com/problems/max-points-on-a-line","HARD","Array, Hash Table, Math, Geometry"
"Second Minimum Node In a Binary Tree","https://leetcode.com/problems/second-minimum-node-in-a-binary-tree","EASY","Tree, Depth-First Search, Binary Tree"
"Closest Binary Search Tree Value II","https://leetcode.com/problems/closest-binary-search-tree-value-ii","HARD","Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree"
"House Robber","https://leetcode.com/problems/house-robber","MEDIUM","Array, Dynamic Programming"
"Evaluate Reverse Polish Notation","https://leetcode.com/problems/evaluate-reverse-polish-notation","MEDIUM","Array, Math, Stack"
"Repeated DNA Sequences","https://leetcode.com/problems/repeated-dna-sequences","MEDIUM","Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Binary Tree Level Order Traversal","https://leetcode.com/problems/binary-tree-level-order-traversal","MEDIUM","Tree, Breadth-First Search, Binary Tree"
"Can I Win","https://leetcode.com/problems/can-i-win","MEDIUM","Math, Dynamic Programming, Bit Manipulation, Memoization, Game Theory, Bitmask"
"Longest Palindromic Subsequence","https://leetcode.com/problems/longest-palindromic-subsequence","MEDIUM","String, Dynamic Programming"
"Permutations II","https://leetcode.com/problems/permutations-ii","MEDIUM","Array, Backtracking, Sorting"
"Merge Two Sorted Lists","https://leetcode.com/problems/merge-two-sorted-lists","EASY","Linked List, Recursion"
"Flatten Nested List Iterator","https://leetcode.com/problems/flatten-nested-list-iterator","MEDIUM","Stack, Tree, Depth-First Search, Design, Queue, Iterator"
"Shortest Word Distance III","https://leetcode.com/problems/shortest-word-distance-iii","MEDIUM","Array, String"
"Permutations","https://leetcode.com/problems/permutations","MEDIUM","Array, Backtracking"
"Palindromic Substrings","https://leetcode.com/problems/palindromic-substrings","MEDIUM","Two Pointers, String, Dynamic Programming"
"Sparse Matrix Multiplication","https://leetcode.com/problems/sparse-matrix-multiplication","MEDIUM","Array, Hash Table, Matrix"
"Find K Pairs with Smallest Sums","https://leetcode.com/problems/find-k-pairs-with-smallest-sums","MEDIUM","Array, Heap (Priority Queue)"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Binary Tree Zigzag Level Order Traversal","https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal","MEDIUM","Tree, Breadth-First Search, Binary Tree"
"Merge k Sorted Lists","https://leetcode.com/problems/merge-k-sorted-lists","HARD","Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
"Product of Array Except Self","https://leetcode.com/problems/product-of-array-except-self","MEDIUM","Array, Prefix Sum"
"Text Justification","https://leetcode.com/problems/text-justification","HARD","Array, String, Simulation"
"Find K Closest Elements","https://leetcode.com/problems/find-k-closest-elements","MEDIUM","Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
"Sum of Square Numbers","https://leetcode.com/problems/sum-of-square-numbers","MEDIUM","Math, Two Pointers, Binary Search"
"Time to Cross a Bridge","https://leetcode.com/problems/time-to-cross-a-bridge","HARD","Array, Heap (Priority Queue), Simulation"
"Maximize Total Tastiness of Purchased Fruits","https://leetcode.com/problems/maximize-total-tastiness-of-purchased-fruits","MEDIUM","Array, Dynamic Programming"
"Find Largest Value in Each Tree Row","https://leetcode.com/problems/find-largest-value-in-each-tree-row","MEDIUM","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Maximum Number of Non-overlapping Palindrome Substrings","https://leetcode.com/problems/maximum-number-of-non-overlapping-palindrome-substrings","HARD","Two Pointers, String, Dynamic Programming, Greedy"
"Insert Interval","https://leetcode.com/problems/insert-interval","MEDIUM","Array"
"Minimum Deletions to Make Array Divisible","https://leetcode.com/problems/minimum-deletions-to-make-array-divisible","HARD","Array, Math, Sorting, Heap (Priority Queue), Number Theory"
"Insert Delete GetRandom O(1) - Duplicates allowed","https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed","HARD","Array, Hash Table, Math, Design, Randomized"
"Two Sum III - Data structure design","https://leetcode.com/problems/two-sum-iii-data-structure-design","EASY","Array, Hash Table, Two Pointers, Design, Data Stream"
"Create Binary Tree From Descriptions","https://leetcode.com/problems/create-binary-tree-from-descriptions","MEDIUM","Array, Hash Table, Tree, Binary Tree"
"Binary Search Tree Iterator","https://leetcode.com/problems/binary-search-tree-iterator","MEDIUM","Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
"Max Area of Island","https://leetcode.com/problems/max-area-of-island","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Edit Distance","https://leetcode.com/problems/edit-distance","MEDIUM","String, Dynamic Programming"
"Rotate List","https://leetcode.com/problems/rotate-list","MEDIUM","Linked List, Two Pointers"
"Graph Valid Tree","https://leetcode.com/problems/graph-valid-tree","MEDIUM","Depth-First Search, Breadth-First Search, Union Find, Graph"
"Valid Triangle Number","https://leetcode.com/problems/valid-triangle-number","MEDIUM","Array, Two Pointers, Binary Search, Greedy, Sorting"
"Number of Connected Components in an Undirected Graph","https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph","MEDIUM","Depth-First Search, Breadth-First Search, Union Find, Graph"
"Min Stack","https://leetcode.com/problems/min-stack","MEDIUM","Stack, Design"
"Shuffle an Array","https://leetcode.com/problems/shuffle-an-array","MEDIUM","Array, Math, Design, Randomized"
"Word Ladder II","https://leetcode.com/problems/word-ladder-ii","HARD","Hash Table, String, Backtracking, Breadth-First Search"
"Combination Sum","https://leetcode.com/problems/combination-sum","MEDIUM","Array, Backtracking"
