Title,Link,Difficulty,Topic
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Pow(x, n)","https://leetcode.com/problems/powx-n","MEDIUM","Math, Recursion"
"Simplify Path","https://leetcode.com/problems/simplify-path","MEDIUM","String, Stack"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Next Permutation","https://leetcode.com/problems/next-permutation","MEDIUM","Array, Two Pointers"
"Merge k Sorted Lists","https://leetcode.com/problems/merge-k-sorted-lists","HARD","Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Find First and Last Position of Element in Sorted Array","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","MEDIUM","Array, Binary Search"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Valid Number","https://leetcode.com/problems/valid-number","HARD","String"
"Minimum Window Substring","https://leetcode.com/problems/minimum-window-substring","HARD","Hash Table, String, Sliding Window"
"Longest Common Prefix","https://leetcode.com/problems/longest-common-prefix","EASY","String, Trie"
"Add Two Numbers","https://leetcode.com/problems/add-two-numbers","MEDIUM","Linked List, Math, Recursion"
"Letter Combinations of a Phone Number","https://leetcode.com/problems/letter-combinations-of-a-phone-number","MEDIUM","Hash Table, String, Backtracking"
"Subsets","https://leetcode.com/problems/subsets","MEDIUM","Array, Backtracking, Bit Manipulation"
"Remove Nth Node From End of List","https://leetcode.com/problems/remove-nth-node-from-end-of-list","MEDIUM","Linked List, Two Pointers"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"String to Integer (atoi)","https://leetcode.com/problems/string-to-integer-atoi","MEDIUM","String"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Remove Duplicates from Sorted Array","https://leetcode.com/problems/remove-duplicates-from-sorted-array","EASY","Array, Two Pointers"
