Title,Link,Difficulty,Topic
"Remove All Adjacent Duplicates In String","https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string","EASY","String, Stack"
"Minimize Maximum of Array","https://leetcode.com/problems/minimize-maximum-of-array","MEDIUM","Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
"Number of Unequal Triplets in Array","https://leetcode.com/problems/number-of-unequal-triplets-in-array","EASY","Array, Hash Table, Sorting"
"Find Indices With Index and Value Difference I","https://leetcode.com/problems/find-indices-with-index-and-value-difference-i","EASY","Array, Two Pointers"
"Find Indices With Index and Value Difference II","https://leetcode.com/problems/find-indices-with-index-and-value-difference-ii","MEDIUM","Array, Two Pointers"
"Longest Nice Subarray","https://leetcode.com/problems/longest-nice-subarray","MEDIUM","Array, Bit Manipulation, Sliding Window"
"Min Stack","https://leetcode.com/problems/min-stack","MEDIUM","Stack, Design"
"Number of Divisible Substrings","https://leetcode.com/problems/number-of-divisible-substrings","MEDIUM","Hash Table, String, Counting, Prefix Sum"
"Linked List Cycle II","https://leetcode.com/problems/linked-list-cycle-ii","MEDIUM","Hash Table, Linked List, Two Pointers"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Container With Most Water","https://leetcode.com/problems/container-with-most-water","MEDIUM","Array, Two Pointers, Greedy"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Reverse Words in a String","https://leetcode.com/problems/reverse-words-in-a-string","MEDIUM","Two Pointers, String"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Next Permutation","https://leetcode.com/problems/next-permutation","MEDIUM","Array, Two Pointers"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Word Search","https://leetcode.com/problems/word-search","MEDIUM","Array, String, Backtracking, Depth-First Search, Matrix"
"Largest Number","https://leetcode.com/problems/largest-number","MEDIUM","Array, String, Greedy, Sorting"
"Reverse Linked List","https://leetcode.com/problems/reverse-linked-list","EASY","Linked List, Recursion"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Execute Asynchronous Functions in Parallel","https://leetcode.com/problems/execute-asynchronous-functions-in-parallel","MEDIUM",""
"Longest Consecutive Sequence","https://leetcode.com/problems/longest-consecutive-sequence","MEDIUM","Array, Hash Table, Union Find"
"Second Highest Salary","https://leetcode.com/problems/second-highest-salary","MEDIUM","Database"
"Product of Array Except Self","https://leetcode.com/problems/product-of-array-except-self","MEDIUM","Array, Prefix Sum"
"Best Time to Buy and Sell Stock II","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"String Compression","https://leetcode.com/problems/string-compression","MEDIUM","Two Pointers, String"
"Sum of Subarray Minimums","https://leetcode.com/problems/sum-of-subarray-minimums","MEDIUM","Array, Dynamic Programming, Stack, Monotonic Stack"
"Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Find Minimum in Rotated Sorted Array","https://leetcode.com/problems/find-minimum-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
