Title,Link,Difficulty,Topic
"Frog Jump","https://leetcode.com/problems/frog-jump","HARD","Array, Dynamic Programming"
"Burst Balloons","https://leetcode.com/problems/burst-balloons","HARD","Array, Dynamic Programming"
"Decoded String at Index","https://leetcode.com/problems/decoded-string-at-index","MEDIUM","String, Stack"
"Maximum Tastiness of Candy Basket","https://leetcode.com/problems/maximum-tastiness-of-candy-basket","MEDIUM","Array, Binary Search, Greedy, Sorting"
"Simple Bank System","https://leetcode.com/problems/simple-bank-system","MEDIUM","Array, Hash Table, Design, Simulation"
"Smallest Range Covering Elements from K Lists","https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists","HARD","Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
"Viewers Turned Streamers","https://leetcode.com/problems/viewers-turned-streamers","HARD","Database"
"Frequencies of Shortest Supersequences","https://leetcode.com/problems/frequencies-of-shortest-supersequences","HARD","Array, String, Bit Manipulation, Graph, Topological Sort, Enumeration"
"Smallest String With Swaps","https://leetcode.com/problems/smallest-string-with-swaps","MEDIUM","Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
"Maximum Amount of Money Robot Can Earn","https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn","MEDIUM","Array, Dynamic Programming, Matrix"
"Check if Point Is Reachable","https://leetcode.com/problems/check-if-point-is-reachable","HARD","Math, Number Theory"
"Count the Number of Arrays with K Matching Adjacent Elements","https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements","HARD","Math, Combinatorics"
"Find Beautiful Indices in the Given Array II","https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii","HARD","Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
"Remove K Digits","https://leetcode.com/problems/remove-k-digits","MEDIUM","String, Stack, Greedy, Monotonic Stack"
"Most Stones Removed with Same Row or Column","https://leetcode.com/problems/most-stones-removed-with-same-row-or-column","MEDIUM","Hash Table, Depth-First Search, Union Find, Graph"
"Bus Routes","https://leetcode.com/problems/bus-routes","HARD","Array, Hash Table, Breadth-First Search"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"House Robber II","https://leetcode.com/problems/house-robber-ii","MEDIUM","Array, Dynamic Programming"
"Queue Reconstruction by Height","https://leetcode.com/problems/queue-reconstruction-by-height","MEDIUM","Array, Binary Indexed Tree, Segment Tree, Sorting"
"Split Array Largest Sum","https://leetcode.com/problems/split-array-largest-sum","HARD","Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
"Candy","https://leetcode.com/problems/candy","HARD","Array, Greedy"
"Frequency of the Most Frequent Element","https://leetcode.com/problems/frequency-of-the-most-frequent-element","MEDIUM","Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
"House Robber","https://leetcode.com/problems/house-robber","MEDIUM","Array, Dynamic Programming"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
