Title,Link,Difficulty,Topic
"String Compression III","https://leetcode.com/problems/string-compression-iii","MEDIUM","String"
"Maximum Number of Ones","https://leetcode.com/problems/maximum-number-of-ones","HARD","Math, Greedy, Sorting, Heap (Priority Queue)"
"Reverse Linked List","https://leetcode.com/problems/reverse-linked-list","EASY","Linked List, Recursion"
"Remove Nth Node From End of List","https://leetcode.com/problems/remove-nth-node-from-end-of-list","MEDIUM","Linked List, Two Pointers"
"Rotate Image","https://leetcode.com/problems/rotate-image","MEDIUM","Array, Math, Matrix"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Reverse Bits","https://leetcode.com/problems/reverse-bits","EASY","Divide and Conquer, Bit Manipulation"
"Middle of the Linked List","https://leetcode.com/problems/middle-of-the-linked-list","EASY","Linked List, Two Pointers"
"Design Memory Allocator","https://leetcode.com/problems/design-memory-allocator","MEDIUM","Array, Hash Table, Design, Simulation"
"Majority Element","https://leetcode.com/problems/majority-element","EASY","Array, Hash Table, Divide and Conquer, Sorting, Counting"
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Implement Queue using Stacks","https://leetcode.com/problems/implement-queue-using-stacks","EASY","Stack, Design, Queue"
"Palindrome Number","https://leetcode.com/problems/palindrome-number","EASY","Math"
"Climbing Stairs","https://leetcode.com/problems/climbing-stairs","EASY","Math, Dynamic Programming, Memoization"
"Number of 1 Bits","https://leetcode.com/problems/number-of-1-bits","EASY","Divide and Conquer, Bit Manipulation"
"Swap Nodes in Pairs","https://leetcode.com/problems/swap-nodes-in-pairs","MEDIUM","Linked List, Recursion"
"Design Circular Queue","https://leetcode.com/problems/design-circular-queue","MEDIUM","Array, Linked List, Design, Queue"
"Permutations","https://leetcode.com/problems/permutations","MEDIUM","Array, Backtracking"
"Power of Four","https://leetcode.com/problems/power-of-four","EASY","Math, Bit Manipulation, Recursion"
"Reverse Nodes in k-Group","https://leetcode.com/problems/reverse-nodes-in-k-group","HARD","Linked List, Recursion"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"First Unique Character in a String","https://leetcode.com/problems/first-unique-character-in-a-string","EASY","Hash Table, String, Queue, Counting"
"Serialize and Deserialize Binary Tree","https://leetcode.com/problems/serialize-and-deserialize-binary-tree","HARD","String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
"Is Subsequence","https://leetcode.com/problems/is-subsequence","EASY","Two Pointers, String, Dynamic Programming"
"Single Number","https://leetcode.com/problems/single-number","EASY","Array, Bit Manipulation"
"Linked List Cycle","https://leetcode.com/problems/linked-list-cycle","EASY","Hash Table, Linked List, Two Pointers"
"Count the Number of Fair Pairs","https://leetcode.com/problems/count-the-number-of-fair-pairs","MEDIUM","Array, Two Pointers, Binary Search, Sorting"
"Kth Largest Element in an Array","https://leetcode.com/problems/kth-largest-element-in-an-array","MEDIUM","Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Rectangle Overlap","https://leetcode.com/problems/rectangle-overlap","EASY","Math, Geometry"
"String to Integer (atoi)","https://leetcode.com/problems/string-to-integer-atoi","MEDIUM","String"
"Find Winner on a Tic Tac Toe Game","https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game","EASY","Array, Hash Table, Matrix, Simulation"
"Course Schedule II","https://leetcode.com/problems/course-schedule-ii","MEDIUM","Depth-First Search, Breadth-First Search, Graph, Topological Sort"
"Reverse Integer","https://leetcode.com/problems/reverse-integer","MEDIUM","Math"
"Maximum Depth of Binary Tree","https://leetcode.com/problems/maximum-depth-of-binary-tree","EASY","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Two Sum II - Input Array Is Sorted","https://leetcode.com/problems/two-sum-ii-input-array-is-sorted","MEDIUM","Array, Two Pointers, Binary Search"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Pow(x, n)","https://leetcode.com/problems/powx-n","MEDIUM","Math, Recursion"
"Design Tic-Tac-Toe","https://leetcode.com/problems/design-tic-tac-toe","MEDIUM","Array, Hash Table, Design, Matrix, Simulation"
"Trapping Rain Water II","https://leetcode.com/problems/trapping-rain-water-ii","HARD","Array, Breadth-First Search, Heap (Priority Queue), Matrix"
"Power of Two","https://leetcode.com/problems/power-of-two","EASY","Math, Bit Manipulation, Recursion"
"Remove Duplicates from Sorted Array","https://leetcode.com/problems/remove-duplicates-from-sorted-array","EASY","Array, Two Pointers"
"Length of Last Word","https://leetcode.com/problems/length-of-last-word","EASY","String"
"Best Time to Buy and Sell Stock II","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
