Title,Link,Difficulty,Topic
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Find Followers Count","https://leetcode.com/problems/find-followers-count","EASY","Database"
"Minimum Changes To Make Alternating Binary String","https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string","EASY","String"
"Basic Calculator II","https://leetcode.com/problems/basic-calculator-ii","MEDIUM","Math, String, Stack"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Design Circular Queue","https://leetcode.com/problems/design-circular-queue","MEDIUM","Array, Linked List, Design, Queue"
"Building H2O","https://leetcode.com/problems/building-h2o","MEDIUM","Concurrency"
"Letter Combinations of a Phone Number","https://leetcode.com/problems/letter-combinations-of-a-phone-number","MEDIUM","Hash Table, String, Backtracking"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Top K Frequent Elements","https://leetcode.com/problems/top-k-frequent-elements","MEDIUM","Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
"Container With Most Water","https://leetcode.com/problems/container-with-most-water","MEDIUM","Array, Two Pointers, Greedy"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Reverse Nodes in k-Group","https://leetcode.com/problems/reverse-nodes-in-k-group","HARD","Linked List, Recursion"
"Maximum Number of Balloons","https://leetcode.com/problems/maximum-number-of-balloons","EASY","Hash Table, String, Counting"
"Move Zeroes","https://leetcode.com/problems/move-zeroes","EASY","Array, Two Pointers"
"Subarray Sum Equals K","https://leetcode.com/problems/subarray-sum-equals-k","MEDIUM","Array, Hash Table, Prefix Sum"
"Decode the Message","https://leetcode.com/problems/decode-the-message","EASY","Hash Table, String"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Valid Anagram","https://leetcode.com/problems/valid-anagram","EASY","Hash Table, String, Sorting"
"Reorganize String","https://leetcode.com/problems/reorganize-string","MEDIUM","Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
"Max Area of Island","https://leetcode.com/problems/max-area-of-island","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Flatten Nested List Iterator","https://leetcode.com/problems/flatten-nested-list-iterator","MEDIUM","Stack, Tree, Depth-First Search, Design, Queue, Iterator"
"Find Winner on a Tic Tac Toe Game","https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game","EASY","Array, Hash Table, Matrix, Simulation"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Basic Calculator","https://leetcode.com/problems/basic-calculator","HARD","Math, String, Stack, Recursion"
"First Missing Positive","https://leetcode.com/problems/first-missing-positive","HARD","Array, Hash Table"
"Repeated DNA Sequences","https://leetcode.com/problems/repeated-dna-sequences","MEDIUM","Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function"
"Moving Average from Data Stream","https://leetcode.com/problems/moving-average-from-data-stream","EASY","Array, Design, Queue, Data Stream"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Simplify Path","https://leetcode.com/problems/simplify-path","MEDIUM","String, Stack"
"Largest Perimeter Triangle","https://leetcode.com/problems/largest-perimeter-triangle","EASY","Array, Math, Greedy, Sorting"
"Missing Number","https://leetcode.com/problems/missing-number","EASY","Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
"Construct Binary Tree from Preorder and Inorder Traversal","https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal","MEDIUM","Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
"Is Subsequence","https://leetcode.com/problems/is-subsequence","EASY","Two Pointers, String, Dynamic Programming"
"Combination Sum II","https://leetcode.com/problems/combination-sum-ii","MEDIUM","Array, Backtracking"
"Find Minimum in Rotated Sorted Array","https://leetcode.com/problems/find-minimum-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Design Bounded Blocking Queue","https://leetcode.com/problems/design-bounded-blocking-queue","MEDIUM","Concurrency"
"House Robber","https://leetcode.com/problems/house-robber","MEDIUM","Array, Dynamic Programming"
"Reverse Linked List","https://leetcode.com/problems/reverse-linked-list","EASY","Linked List, Recursion"
"Course Schedule II","https://leetcode.com/problems/course-schedule-ii","MEDIUM","Depth-First Search, Breadth-First Search, Graph, Topological Sort"
"Serialize and Deserialize Binary Tree","https://leetcode.com/problems/serialize-and-deserialize-binary-tree","HARD","String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
"Design Tic-Tac-Toe","https://leetcode.com/problems/design-tic-tac-toe","MEDIUM","Array, Hash Table, Design, Matrix, Simulation"
