Title,Link,Difficulty,Topic
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Max Stack","https://leetcode.com/problems/max-stack","HARD","Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Word Break","https://leetcode.com/problems/word-break","MEDIUM","Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
"Divide Intervals Into Minimum Number of Groups","https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups","MEDIUM","Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
"Minimum Number of Operations to Make Arrays Similar","https://leetcode.com/problems/minimum-number-of-operations-to-make-arrays-similar","HARD","Array, Greedy, Sorting"
"Count Good Triplets in an Array","https://leetcode.com/problems/count-good-triplets-in-an-array","HARD","Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
"Minimum Operations to Make Array Equal II","https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii","MEDIUM","Array, Math, Greedy"
"Maximum Number of Tasks You Can Assign","https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign","HARD","Array, Two Pointers, Binary Search, Greedy, Queue, Sorting, Monotonic Queue"
"Middle of the Linked List","https://leetcode.com/problems/middle-of-the-linked-list","EASY","Linked List, Two Pointers"
"Number of Ways to Separate Numbers","https://leetcode.com/problems/number-of-ways-to-separate-numbers","HARD","String, Dynamic Programming, Suffix Array"
"The Winner University","https://leetcode.com/problems/the-winner-university","EASY","Database"
"Generate Parentheses","https://leetcode.com/problems/generate-parentheses","MEDIUM","String, Dynamic Programming, Backtracking"
"Kth Largest Element in an Array","https://leetcode.com/problems/kth-largest-element-in-an-array","MEDIUM","Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
"Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Spiral Matrix","https://leetcode.com/problems/spiral-matrix","MEDIUM","Array, Matrix, Simulation"
"Longest Consecutive Sequence","https://leetcode.com/problems/longest-consecutive-sequence","MEDIUM","Array, Hash Table, Union Find"
"Sort Colors","https://leetcode.com/problems/sort-colors","MEDIUM","Array, Two Pointers, Sorting"
"Valid Sudoku","https://leetcode.com/problems/valid-sudoku","MEDIUM","Array, Hash Table, Matrix"
"Coin Change","https://leetcode.com/problems/coin-change","MEDIUM","Array, Dynamic Programming, Breadth-First Search"
"Binary Tree Zigzag Level Order Traversal","https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal","MEDIUM","Tree, Breadth-First Search, Binary Tree"
"Move Zeroes","https://leetcode.com/problems/move-zeroes","EASY","Array, Two Pointers"
"Combination Sum","https://leetcode.com/problems/combination-sum","MEDIUM","Array, Backtracking"
"Rotate Array","https://leetcode.com/problems/rotate-array","MEDIUM","Array, Math, Two Pointers"
"Degree of an Array","https://leetcode.com/problems/degree-of-an-array","EASY","Array, Hash Table"
