Title,Link,Difficulty,Topic
"Maximum Spending After Buying Items","https://leetcode.com/problems/maximum-spending-after-buying-items","HARD","Array, Greedy, Sorting, Heap (Priority Queue), Matrix"
"Split the Array to Make Coprime Products","https://leetcode.com/problems/split-the-array-to-make-coprime-products","HARD","Array, Hash Table, Math, Number Theory"
"Bitwise OR of All Subsequence Sums","https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums","MEDIUM","Array, Math, Bit Manipulation, Brainteaser, Prefix Sum"
"Shortest Cycle in a Graph","https://leetcode.com/problems/shortest-cycle-in-a-graph","HARD","Breadth-First Search, Graph"
"Number of Ways to Divide a Long Corridor","https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor","HARD","Math, String, Dynamic Programming"
"Count the Hidden Sequences","https://leetcode.com/problems/count-the-hidden-sequences","MEDIUM","Array, Prefix Sum"
"Find and Replace Pattern","https://leetcode.com/problems/find-and-replace-pattern","MEDIUM","Array, Hash Table, String"
"Total Cost to Hire K Workers","https://leetcode.com/problems/total-cost-to-hire-k-workers","MEDIUM","Array, Two Pointers, Heap (Priority Queue), Simulation"
"Cherry Pickup","https://leetcode.com/problems/cherry-pickup","HARD","Array, Dynamic Programming, Matrix"
"Count Zero Request Servers","https://leetcode.com/problems/count-zero-request-servers","MEDIUM","Array, Hash Table, Sliding Window, Sorting"
"First Missing Positive","https://leetcode.com/problems/first-missing-positive","HARD","Array, Hash Table"
"Frog Jump","https://leetcode.com/problems/frog-jump","HARD","Array, Dynamic Programming"
"Optimal Account Balancing","https://leetcode.com/problems/optimal-account-balancing","HARD","Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
"Unique Paths","https://leetcode.com/problems/unique-paths","MEDIUM","Math, Dynamic Programming, Combinatorics"
"Largest Rectangle in Histogram","https://leetcode.com/problems/largest-rectangle-in-histogram","HARD","Array, Stack, Monotonic Stack"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"LFU Cache","https://leetcode.com/problems/lfu-cache","HARD","Hash Table, Linked List, Design, Doubly-Linked List"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Self Crossing","https://leetcode.com/problems/self-crossing","HARD","Array, Math, Geometry"
"Unique Paths II","https://leetcode.com/problems/unique-paths-ii","MEDIUM","Array, Dynamic Programming, Matrix"
"Jump Game II","https://leetcode.com/problems/jump-game-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Two Sum II - Input Array Is Sorted","https://leetcode.com/problems/two-sum-ii-input-array-is-sorted","MEDIUM","Array, Two Pointers, Binary Search"
"Snakes and Ladders","https://leetcode.com/problems/snakes-and-ladders","MEDIUM","Array, Breadth-First Search, Matrix"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
